lat,lon,period
4.179167,96.19328,254
4.170833,96.19225,91
4.445833,96.2354,51
4.1875,96.20265,254
4.179167,96.20163,254
4.170833,96.20061,254
4.4375,96.24267,50
4.1875,96.21101,61
4.179167,96.20998,254
4.170833,96.20896,254
4.354167,96.2737,50
4.345833,96.27264,54
4.304167,96.26734,51
4.354167,96.28206,50
4.345833,96.28099,57
4.329167,96.27887,55
4.3125,96.27675,51
4.304167,96.2757,50
4.104167,96.25099,59
4.095833,96.24999,52
4.345833,96.28934,50
4.3375,96.28828,56
4.329167,96.28722,50
4.304167,96.28405,51
4.104167,96.25935,50
4.095833,96.25835,50
4.070833,96.27206,254
4.0625,96.27106,254
4.3875,96.31977,50
4.379167,96.3187,254
4.079167,96.28141,254
4.070833,96.28041,254
4.0625,96.27941,254
4.3875,96.32813,50
4.379167,96.32705,254
4.0625,96.28777,254
4.0375,96.30151,50
4.029167,96.30051,61
4.170833,96.32594,254
4.1625,96.32492,60
4.0375,96.30986,51
4.029167,96.30887,51
4.020833,96.30788,53
4.0125,96.3069,54
4.170833,96.3343,51
4.0375,96.31821,56
4.495833,96.38407,254
4.104167,96.33454,50
4.095833,96.33353,52
4.495833,96.39243,254
4.104167,96.3429,50
4.104167,96.35125,254
4.2375,96.37596,50
4.245833,96.38535,50
4.020833,96.35801,54
4.0125,96.35703,54
4.0375,96.36833,54
4.029167,96.36735,59
4.020833,96.36636,62
4.0125,96.36538,54
4.045833,96.37768,254
4.0375,96.37669,254
4.054167,96.38702,254
4.045833,96.38603,254
4.0375,96.38504,254
4.220833,96.41566,51
4.2125,96.41463,53
4.204167,96.4136,52
4.054167,96.39538,55
4.2375,96.42609,50
4.220833,96.42403,50
4.2125,96.42299,52
4.0625,96.40473,50
4.054167,96.40373,50
4.329167,96.44601,254
3.954167,96.40031,50
3.945833,96.39935,50
3.9375,96.39838,52
4.329167,96.45437,254
4.320833,96.45331,254
4.3125,96.45225,254
3.954167,96.40866,50
3.945833,96.4077,50
3.9375,96.40673,51
4.220833,96.44909,50
3.9875,96.42091,56
3.979167,96.41994,52
3.970833,96.41896,55
4.220833,96.45744,50
3.995833,96.43024,50
3.9875,96.42927,54
3.979167,96.42829,51
3.970833,96.42731,61
3.9625,96.42634,50
3.995833,96.4386,59
3.9875,96.43762,51
4.129167,96.46289,52
4.029167,96.45089,50
4.020833,96.4499,51
4.0125,96.44891,54
4.004167,96.44793,62
3.995833,96.44695,50
3.9875,96.44597,52
4.129167,96.47124,50
4.020833,96.45825,52
4.0125,96.45727,58
4.004167,96.45628,53
3.995833,96.45531,50
3.870833,96.44083,52
2.4625,96.30977,254
4.079167,96.47356,55
4.070833,96.47256,56
4.0625,96.47157,52
4.054167,96.47057,67
4.020833,96.46661,53
4.0125,96.46562,54
4.004167,96.46464,54
3.995833,96.46366,53
3.8625,96.44824,52
3.8375,96.44541,254
4.154167,96.491,56
4.145833,96.48999,52
4.1375,96.48898,51
4.129167,96.48796,53
4.1125,96.48594,54
4.104167,96.48492,50
4.095833,96.48392,51
4.0875,96.48292,54
4.079167,96.48192,54
4.070833,96.48092,55
4.0625,96.47992,60
4.054167,96.47892,54
4.154167,96.49936,57
4.145833,96.49834,51
4.1375,96.49733,50
4.129167,96.49632,51
4.120833,96.4953,50
4.1125,96.49429,50
4.104167,96.49329,51
4.095833,96.49228,51
4.0875,96.49127,51
4.079167,96.49027,53
4.045833,96.48628,52
4.154167,96.50771,51
4.145833,96.5067,56
4.1375,96.50568,51
4.129167,96.50467,51
4.120833,96.50365,51
4.1125,96.50265,50
4.104167,96.50164,53
4.095833,96.50063,51
4.0875,96.49963,50
4.079167,96.49863,52
4.154167,96.51608,51
4.145833,96.51505,54
4.1375,96.51404,52
4.129167,96.51302,50
4.120833,96.51201,50
3.970833,96.50249,254
5.045833,96.65373,254
3.979167,96.51183,50
3.970833,96.51085,254
3.970833,96.5192,254
3.970833,96.52756,254
3.9625,96.52658,254
3.895833,96.53558,53
3.8875,96.53461,54
4.9125,96.67596,254
3.970833,96.55261,254
3.895833,96.54392,254
3.8875,96.54297,254
3.879167,96.54202,61
3.8375,96.53728,60
4.0125,96.56586,254
4.004167,96.56488,254
3.8375,96.54563,53
2.3875,96.41286,254
4.7375,96.66776,254
4.029167,96.57619,254
4.020833,96.57521,254
3.895833,96.56063,254
3.845833,96.55493,54
3.8375,96.55399,56
3.829167,96.55305,53
4.029167,96.58455,52
4.020833,96.58356,53
4.004167,96.58159,50
3.9875,96.57963,51
3.979167,96.57865,51
3.895833,96.56898,254
3.8375,96.56234,50
3.829167,96.56139,50
3.804167,96.55859,50
3.795833,96.55766,50
4.920833,96.71062,51
4.7375,96.68449,254
4.729167,96.68332,254
4.720833,96.68216,254
4.7125,96.681,254
4.0375,96.59389,54
4.029167,96.5929,59
4.020833,96.59192,50
3.995833,96.58897,51
3.9875,96.58798,50
3.8375,96.57069,50
3.829167,96.56975,50
3.820833,96.56881,53
3.8125,96.56787,51
3.804167,96.56694,52
3.795833,96.566,51
4.920833,96.71899,50
4.7375,96.69285,254
4.729167,96.69168,254
4.720833,96.69052,254
4.7125,96.68936,254
4.045833,96.60324,53
4.0375,96.60225,50
4.020833,96.60027,54
3.829167,96.5781,50
3.820833,96.57716,254
3.8125,96.57623,56
3.804167,96.57529,60
3.795833,96.57436,58
3.7875,96.57343,57
4.970833,96.73466,51
4.9625,96.73344,53
4.7375,96.70121,254
4.729167,96.70004,254
4.045833,96.6116,50
4.029167,96.60961,51
3.820833,96.58551,50
3.8125,96.58458,254
3.804167,96.58364,59
3.795833,96.58271,53
3.7875,96.58178,50
4.970833,96.74303,52
4.9625,96.7418,51
4.7375,96.70957,254
3.8875,96.60144,53
3.804167,96.592,254
3.795833,96.59106,67
3.7875,96.59013,52
3.779167,96.5892,50
4.979167,96.75262,50
4.970833,96.75139,52
4.9625,96.75017,58
4.7375,96.71793,254
4.729167,96.71677,254
3.904167,96.6117,52
3.895833,96.61075,53
3.8875,96.60979,51
3.804167,96.60034,68
3.795833,96.59941,51
3.7875,96.59848,50
3.779167,96.59755,53
5.229167,96.7987,254
5.1875,96.79228,254
4.9625,96.75853,53
4.954167,96.75731,53
4.729167,96.72513,254
3.954167,96.62585,51
3.9125,96.62102,56
3.904167,96.62006,59
3.895833,96.61909,64
3.8875,96.61814,50
3.8125,96.60963,55
3.804167,96.6087,62
3.795833,96.60777,60
3.7875,96.60683,50
3.779167,96.6059,50
4.970833,96.76812,55
4.9625,96.76689,52
4.954167,96.76567,51
4.7375,96.73466,254
4.729167,96.73349,254
3.954167,96.6342,57
3.929167,96.63129,254
3.9125,96.62937,57
3.904167,96.62841,50
3.895833,96.62745,51
3.8875,96.6265,58
3.8125,96.61798,50
3.804167,96.61705,50
3.795833,96.61611,59
4.970833,96.77648,51
4.7625,96.74653,254
4.7375,96.74302,254
3.920833,96.63869,50
3.9125,96.63773,51
3.904167,96.63676,51
3.895833,96.6358,56
3.8875,96.63485,54
3.879167,96.6339,59
3.870833,96.63294,55
