lat,lon,prob201107,prob201108
.0291667,100.5708,101,101
.0208333,100.5708,101,101
.0125,100.5708,101,101
.0041667,100.5708,101,101
1.679167,100.6224,101,101
1.670833,100.6219,101,101
1.6625,100.6215,101,101
1.654167,100.6211,101,101
1.645833,100.6207,101,101
1.6375,100.6203,101,101
1.629167,100.6198,101,101
1.545833,100.6158,101,101
1.5375,100.6154,101,101
1.529167,100.615,101,101
1.504167,100.6138,101,101
1.420833,100.6101,64,65
1.4125,100.6097,101,101
1.404167,100.6094,101,101
1.395833,100.609,103,103
1.3875,100.6087,67,67
1.379167,100.6083,92,96
1.370833,100.608,99,99
1.3625,100.6076,97,97
1.354167,100.6073,99,99
1.345833,100.6069,99,99
1.3375,100.6066,99,99
1.329167,100.6062,99,99
1.320833,100.6059,99,99
1.3125,100.6056,103,103
1.295833,100.6049,103,103
1.2875,100.6046,103,103
1.279167,100.6042,103,103
1.270833,100.6039,103,103
1.2625,100.6036,103,103
1.254167,100.6033,103,103
1.245833,100.603,103,103
1.120833,100.5984,101,101
1.054167,100.5962,69,69
1.029167,100.5954,91,91
1.020833,100.5951,93,93
1.0125,100.5949,103,103
1.004167,100.5946,103,103
.9041666,100.5917,101,101
.8958333,100.5915,101,101
.8875,100.5912,101,101
.8791667,100.591,101,101
.8708333,100.5908,101,101
.8625,100.5906,80,80
.8125,100.5893,103,103
.7708333,100.5883,101,101
.7625,100.5881,101,101
.7541667,100.5879,101,101
.7458333,100.5877,66,66
.7291667,100.5873,103,103
.7208334,100.5871,65,65
.7125,100.5869,103,103
.7041667,100.5868,103,103
.6958333,100.5866,103,103
.6875,100.5864,103,103
.6791667,100.5862,103,103
.5958334,100.5846,50,51
.5875,100.5845,101,101
.5458333,100.5837,103,103
.5375,100.5836,58,58
.5291666,100.5835,101,101
.5208333,100.5833,101,101
.5125,100.5832,101,101
.5041667,100.5831,101,101
.4958333,100.5829,103,103
.4875,100.5828,103,103
.4791667,100.5827,103,103
.4708333,100.5826,103,103
